!gpi-version: 1.1
!namespace: dictyBase
DDB_G0287431	DDB_G0287431_ps	Retinal dehydrogenase 1		gene	taxon:44689			
DDB_G0287437	DDB_G0287437			gene	taxon:44689		UniProtKB:Q54KI7	
DDB_G0287451	DDB_G0287451_ps	Retinal dehydrogenase 1		gene	taxon:44689			
DDB_G0287457	DDB_G0287457			gene	taxon:44689		UniProtKB:Q54KF2|UniProtKB:Q54KF2	
DDB_G0287459	secG	Retinal dehydrogenase 1	ArfGEF	gene	taxon:44689		UniProtKB:Q54KA7|UniProtKB:Q54KA7|UniProtKB:Q54KA7	
DDB_G0287467	gluS	Retinal dehydrogenase 1	GluRS	gene	taxon:44689		UniProtKB:Q54KB8|UniProtKB:Q54KB8	
DDB_G0287469	glud1	Retinal dehydrogenase 1	gdhA	gene	taxon:44689		UniProtKB:Q54KB7|UniProtKB:Q54KB7	
DDB_G0287487	DDB_G0287487			gene	taxon:44689			
DDB_G0287497	nup133	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54KA3|UniProtKB:Q54KA3	
DDB_G0287507	limD1	Retinal dehydrogenase 1	limD	gene	taxon:44689		UniProtKB:Q9BIW4|UniProtKB:Q9BIW4|UniProtKB:Q9BIW4	
DDB_G0287531	DDB_G0287531			gene	taxon:44689			
DDB_G0287541	DDB_G0287541			gene	taxon:44689		UniProtKB:Q54K75|UniProtKB:Q54K75	
DDB_G0287549	DDB_G0287549			gene	taxon:44689		UniProtKB:Q54K71|UniProtKB:Q54K71	
DDB_G0287557	pno1	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54K66|UniProtKB:Q54K66	
DDB_G0287559	DDB_G0287559			gene	taxon:44689		UniProtKB:Q54K65|UniProtKB:Q54K65	
DDB_G0287573	DDB_G0287573			gene	taxon:44689		UniProtKB:Q54K78|UniProtKB:Q54K78	
