DBS0235565	mutant
DBS0235627	blasticidin resistant
DBS0235627	axenic
DBS0235627	null mutant
DBS0235629	drug resistant
DBS0235629	axenic
DBS0235629	null mutant
DBS0235630	drug resistant
DBS0235630	axenic
DBS0235630	null mutant
DBS0235984	axenic
DBS0235984	null mutant
DBS0236451	axenic
DBS0236451	null mutant
DBS0236446	axenic
DBS0236446	auxotroph
DBS0236446	thymidine auxotroph
DBS0236376	neomycin resistant
DBS0236376	drug resistant
DBS0236376	axenic
DBS0236376	mutant
DBS0236691	drug resistant
DBS0236691	mutant
DBS0236691	temperature sensitive mutant
DBS0236692	drug resistant
DBS0236692	mutant
DBS0236692	temperature sensitive mutant
DBS0236616	drug resistant
DBS0236616	mutant
DBS0236616	temperature sensitive mutant
DBS0235520	axenic
DBS0236134	drug resistant
DBS0236134	mutant
DBS0236134	temperature sensitive mutant
DBS0236139	drug resistant
DBS0236139	mutant
DBS0236139	temperature sensitive mutant
DBS0236665	drug resistant
DBS0236665	mutant
DBS0236664	drug resistant
DBS0236664	mutant
DBS0236664	temperature sensitive mutant
DBS0236676	drug resistant
DBS0236676	mutant
DBS0236676	temperature sensitive mutant
DBS0236658	mutant
DBS0236658	drug resistant
DBS0236356	neomycin resistant
DBS0236356	axenic
DBS0236356	uracil auxotroph
DBS0236356	mutant
DBS0236671	drug resistant
DBS0236671	mutant
DBS0236671	temperature sensitive mutant
DBS0236546	axenic
DBS0236546	neomycin resistant
DBS0236546	null mutant
DBS0236294	drug resistant
DBS0236294	mutant
DBS0236294	temperature sensitive mutant
DBS0235529	axenic
DBS0237059	axenic
DBS0237059	temperature sensitive mutant
DBS0237073	drug resistant
DBS0237073	mutant
DBS0237070	mutant
DBS0237070	temperature sensitive mutant
DBS0237070	drug resistant
DBS0237077	drug resistant
DBS0237077	mutant
DBS0237078	drug resistant
DBS0237078	mutant
DBS0237081	multiple mutant
DBS0237081	drug resistant
DBS0237081	temperature sensitive mutant
DBS0236568	axenic
DBS0236568	null mutant
DBS0236321	cycloheximide resistant
DBS0236321	multiple mutant
DBS0236321	drug resistant
DBS0236321	axenic
DBS0236321	temperature sensitive mutant
DBS0237064	cycloheximide resistant
DBS0237064	mutant
DBS0237064	temperature sensitive mutant
DBS0236301	axenic
DBS0236301	mutant
DBS0236301	temperature sensitive mutant
DBS0236661	drug resistant
DBS0236661	mutant
DBS0236661	temperature sensitive mutant
DBS0236657	drug resistant
DBS0236657	mutant
DBS0236657	temperature sensitive mutant
DBS0237072	drug resistant
DBS0237072	mutant
DBS0237072	temperature sensitive mutant
DBS0236400	drug resistant
DBS0236400	mutant
DBS0236636	multiple mutant
DBS0236636	temperature sensitive mutant
DBS0236644	drug resistant
DBS0236644	cycloheximide resistant
DBS0236644	mutant
DBS0236354	blasticidin resistant
DBS0236354	neomycin resistant
DBS0236354	drug resistant
DBS0236354	axenic
DBS0236354	mutant
DBS0236355	neomycin resistant
DBS0236355	drug resistant
DBS0236355	axenic
DBS0236355	uracil auxotroph
DBS0236355	auxotroph
DBS0236355	mutant
DBS0236329	blasticidin resistant
DBS0236329	neomycin resistant
DBS0236329	drug resistant
DBS0236329	axenic
DBS0236484	neomycin resistant
DBS0236484	overexpressor
DBS0236484	axenic
DBS0236484	mutant
DBS0236280	drug resistant
DBS0236280	mutant
DBS0236280	temperature sensitive mutant
DBS0236287	drug resistant
DBS0236287	mutant
DBS0236287	temperature sensitive mutant
DBS0236300	drug resistant
DBS0236300	mutant
DBS0236300	temperature sensitive mutant
DBS0236264	drug resistant
DBS0236264	mutant
DBS0236264	temperature sensitive mutant
DBS0236271	drug resistant
DBS0236271	mutant
DBS0236271	temperature sensitive mutant
DBS0236283	cycloheximide resistant
DBS0236283	temperature sensitive mutant
DBS0236292	drug resistant
DBS0236292	mutant
DBS0236292	temperature sensitive mutant
DBS0236293	mutant
DBS0236295	cycloheximide resistant
DBS0236295	drug resistant
DBS0236295	mutant
DBS0236295	temperature sensitive mutant
DBS0236289	axenic
DBS0236289	null mutant
DBS0236268	axenic
DBS0236268	null mutant
DBS0236296	axenic
DBS0236296	null mutant
DBS0236256	axenic
DBS0236256	null mutant
DBS0236288	axenic
DBS0236288	null mutant
DBS0236257	blasticidin resistant
DBS0236257	axenic
DBS0236257	null mutant
DBS0236261	blasticidin resistant
DBS0236261	axenic
DBS0236261	mutant
DBS0236261	temperature sensitive mutant
DBS0236262	blasticidin resistant
DBS0236262	axenic
DBS0236262	mutant
DBS0236262	temperature sensitive mutant
DBS0236260	blasticidin resistant
DBS0236260	axenic
DBS0236260	null mutant
DBS0236259	drug resistant
DBS0236259	axenic
DBS0236259	null mutant
DBS0236390	axenic
DBS0236390	mutant
DBS0236390	temperature sensitive mutant
DBS0305825	axenic
DBS0305825	null mutant
DBS0305825	blasticidin resistant
DBS0236531	null mutant
DBS0236531	axenic
DBS0236527	overexpressor
DBS0236527	neomycin resistant
DBS0236527	axenic
DBS0236527	null mutant
DBS0236007	neomycin resistant
DBS0236007	axenic
DBS0236007	rescued
DBS0236007	null mutant
DBS0235696	uracil auxotroph
DBS0235696	axenic
DBS0235626	neomycin resistant
DBS0235626	drug resistant
DBS0235626	axenic
DBS0235626	GFP marked
DBS0235626	mutant
DBS0237087	blasticidin resistant
DBS0237087	axenic
DBS0237087	null mutant
DBS0235610	neomycin resistant
DBS0235610	axenic
DBS0235610	mutant
DBS0235610	overexpressor
DBS0236205	drug resistant
DBS0236205	mutant
DBS0236205	temperature sensitive mutant
DBS0236454	axenic
DBS0236454	uracil auxotroph
DBS0236454	auxotroph
DBS0235519	axenic
DBS0236389	axenic
DBS0236389	temperature sensitive mutant
DBS0236649	axenic
DBS0236649	temperature sensitive mutant
DBS0236656	axenic
DBS0236656	temperature sensitive mutant
DBS0236679	axenic
DBS0236679	temperature sensitive mutant
DBS0236684	drug resistant
DBS0236684	mutant
DBS0236684	temperature sensitive mutant
DBS0236690	drug resistant
DBS0236690	mutant
DBS0236690	temperature sensitive mutant
DBS0235533	axenic
DBS0235747	natural isolate
DBS0235747	non-axenic
DBS0235788	natural isolate
DBS0235830	natural isolate
DBS0235845	natural isolate
DBS0235843	natural isolate
DBS0236809	natural isolate
DBS0236806	natural isolate
DBS0236680	drug resistant
DBS0236680	mutant
DBS0236680	temperature sensitive mutant
DBS0236625	drug resistant
DBS0236625	mutant
DBS0236681	drug resistant
DBS0236681	mutant
DBS0236681	temperature sensitive mutant
DBS0236739	null mutant
DBS0236739	axenic
DBS0236312	cycloheximide resistant
DBS0236312	multiple mutant
DBS0236312	axenic
DBS0236312	temperature sensitive mutant
DBS0236312	thymidine auxotroph
DBS0235635	axenic
DBS0235635	null mutant
DBS0235635	blasticidin resistant
DBS0235554	axenic
DBS0236323	drug resistant
DBS0236323	axenic
DBS0236323	temperature sensitive mutant
DBS0237079	drug resistant
DBS0237079	mutant
DBS0237079	temperature sensitive mutant
DBS0237076	drug resistant
DBS0237076	mutant
DBS0236370	blasticidin resistant
DBS0236370	axenic
DBS0236370	null mutant
DBS0236349	blasticidin resistant
DBS0236349	neomycin resistant
DBS0236349	GFP marked
DBS0236349	drug resistant
DBS0236349	axenic
DBS0236349	mutant
DBS0236330	neomycin resistant
DBS0236330	drug resistant
DBS0236330	axenic
DBS0236330	uracil auxotroph
DBS0236330	auxotroph
DBS0236330	GFP marked
DBS0236330	mutant
DBS0236331	neomycin resistant
DBS0236331	drug resistant
DBS0236331	axenic
DBS0236331	uracil auxotroph
DBS0236331	auxotroph
DBS0236331	GFP marked
DBS0236331	mutant
DBS0235530	axenic
DBS0235536	neomycin resistant
DBS0235536	GFP marked
DBS0235536	axenic
DBS0235536	mutant
DBS0236957	neomycin resistant
DBS0236957	null mutant
DBS0236957	axenic
DBS0236350	neomycin resistant
DBS0236350	drug resistant
DBS0236350	axenic
DBS0236350	GFP marked
DBS0236350	mutant
DBS0236444	blasticidin resistant
DBS0236444	drug resistant
DBS0236444	axenic
DBS0236444	mutant
DBS0236141	axenic
DBS0236445	axenic
DBS0236445	auxotroph
DBS0236445	thymidine auxotroph
DBS0236429	neomycin resistant
DBS0236429	drug resistant
DBS0236429	axenic
DBS0236429	mutant
DBS0236429	auxotroph
DBS0236429	thymidine auxotroph
DBS0236430	drug resistant
DBS0236430	axenic
DBS0236430	hygromycin resistant
DBS0236430	mutant
DBS0236430	auxotroph
DBS0236430	thymidine auxotroph
DBS0235697	axenic
DBS0235697	uracil auxotroph
DBS0235910	axenic
DBS0235568	axenic
DBS0235568	null mutant
DBS0236783	axenic
DBS0236783	null mutant
DBS0237084	drug resistant
DBS0237084	mutant
DBS0236151	drug resistant
DBS0236151	mutant
DBS0236151	temperature sensitive mutant
DBS0237063	drug resistant
DBS0237063	mutant
DBS0237063	temperature sensitive mutant
DBS0237020	drug resistant
DBS0237020	mutant
DBS0237020	temperature sensitive mutant
DBS0236603	blasticidin resistant
DBS0236603	drug resistant
DBS0236603	axenic
DBS0236603	mutant
DBS0236149	axenic
DBS0236150	axenic
DBS0236132	temperature sensitive mutant
DBS0236135	axenic
DBS0236135	temperature sensitive mutant
DBS0236137	axenic
DBS0236137	temperature sensitive mutant
DBS0237058	drug resistant
DBS0237058	axenic
DBS0237058	mutant
DBS0237058	temperature sensitive mutant
DBS0236199	drug resistant
DBS0236199	axenic
DBS0236199	mutant
DBS0236199	temperature sensitive mutant
DBS0235856	natural isolate
DBS0235736	natural isolate
DBS0235737	natural isolate
DBS0235449	natural isolate
DBS0235447	natural isolate
DBS0236438	null mutant
DBS0236438	axenic
DBS0236136	drug resistant
DBS0236136	mutant
DBS0235663	axenic
DBS0235663	uracil auxotroph
DBS0236231	axenic
DBS0236231	uracil auxotroph
DBS0235820	natural isolate
DBS0235786	natural isolate
DBS0236813	natural isolate
DBS0236449	axenic
DBS0236449	thymidine auxotroph
DBS0235884	natural isolate
DBS0235745	natural isolate
DBS0235738	natural isolate
DBS0235953	axenic
DBS0235953	null mutant
DBS0236631	drug resistant
DBS0236631	axenic
DBS0236631	cycloheximide resistant
DBS0236631	mutant
DBS0237071	drug resistant
DBS0237071	mutant
DBS0236647	drug resistant
DBS0236647	mutant
DBS0236324	drug resistant
DBS0236324	axenic
DBS0236324	temperature sensitive mutant
DBS0237062	drug resistant
DBS0237062	mutant
DBS0236266	drug resistant
DBS0236266	axenic
DBS0236266	mutant
DBS0236266	temperature sensitive mutant
DBS0236267	drug resistant
DBS0236267	axenic
DBS0236267	mutant
DBS0236267	temperature sensitive mutant
DBS0236278	drug resistant
DBS0236278	axenic
DBS0236278	mutant
DBS0236278	temperature sensitive mutant
DBS0236263	temperature sensitive mutant
DBS0235802	natural isolate
DBS0236817	natural isolate
DBS0236818	natural isolate
DBS0236816	natural isolate
DBS0235818	natural isolate
DBS0235823	natural isolate
DBS0235822	natural isolate
DBS0235824	natural isolate
DBS0236961	neomycin resistant
