DBS0235545	d2992
DBS0235545	d3234
DBS0235545	d0473
DBS0235545	6069704
DBS0235699	d4829
DBS0235950	d5995
DBS0237030	d5832
DBS0237029	d5832
DBS0236750	d5832
DBS0236326	d0057
DBS0236326	d0149
DBS0236326	d2560
DBS0236840	d5995
DBS0236607	d5995
DBS0236606	d5995
DBS0236986	d6349
DBS0235900	d8406
DBS0235900	d8405
DBS0236273	d5453
DBS0236269	d5453
DBS0236201	d0474
DBS0236202	d0474
DBS0236203	d0474
DBS0236195	d0474
DBS0236204	d0474
DBS0236160	d4873
DBS0236133	d2554
DBS0236133	d0557
DBS0236133	d1469
DBS0236899	d5790
DBS0236899	d4829
DBS0236439	d5790
DBS0236439	d4829
DBS0236987	d6098
DBS0236987	d5517
DBS0235465	d5683
DBS0236216	d1099
DBS0235682	d6349
DBS0235682	d7034
DBS0235644	d7559
DBS0235645	d5352
DBS0235648	d8001
DBS0235883	d7724
DBS0235734	d4440
DBS0235734	d2517
DBS0235734	d4411
DBS0236392	d0005
DBS0236392	d0004
DBS0236393	d0005
DBS0236394	d0005
DBS0236394	d0004
DBS0236258	d6025
DBS0237056	d5909
DBS0237056	d6025
DBS0236698	d5517
DBS0236698	d6025
DBS0236302	d0815
DBS0236302	d1608
DBS0236302	183142
DBS0236302	183142
DBS0236274	d0815
DBS0236285	d1643
DBS0236285	d1608
DBS0236285	d4044
DBS0236286	d4044
DBS0236286	d1643
DBS0236659	d1985
DBS0236640	d2031
DBS0236397	d1079
DBS0236397	d3325
DBS0236397	d3328
DBS0236662	d1143
DBS0236662	d4865
DBS0236662	8207092
DBS0236662	8207092
DBS0236675	d1143
DBS0236675	d4865
DBS0237069	d1143
DBS0237069	d4865
DBS0236310	d0334
DBS0236634	d1985
DBS0236678	d1143
DBS0236678	d4865
DBS0235789	d0084
DBS0235789	d1608
DBS0235789	d2517
DBS0235769	d4881
DBS0235769	d6538
DBS0235770	d4881
DBS0235770	d7746
DBS0235757	d4881
DBS0235757	d6538
DBS0235757	d7746
DBS0235758	d4881
DBS0235758	d7746
DBS0235765	d4881
DBS0235765	d6538
DBS0235764	d1301
DBS0236377	d7584
DBS0236378	d7584
DBS0237232	d5066
DBS0237232	d7053
DBS0236826	d5066
DBS0236826	d7053
DBS0236827	d5066
DBS0236827	d7053
DBS0235454	d2995
