DBS ID	DDPHENO_ID	PHENOTYPE_TERM	NOTE	DDENVIR_ID	ENVIRONMENT_TERM
DBS0236620	DDPHENO:0001080	abolished aggregation			
DBS0236621	DDPHENO:0001080	abolished aggregation			
DBS0236622	DDPHENO:0001080	abolished aggregation			
DBS0236623	DDPHENO:0000158	decreased aggregate size			
DBS0236623	DDPHENO:0000482	aberrant streaming			
DBS0236624	DDPHENO:0001080	abolished aggregation			
DBS0236625	DDPHENO:0001080	abolished aggregation			
DBS0236626	DDPHENO:0001080	abolished aggregation			
DBS0236627	DDPHENO:0001080	abolished aggregation			
DBS0236628	DDPHENO:0001080	abolished aggregation			
DBS0236629	DDPHENO:0001080	abolished aggregation			
DBS0236630	DDPHENO:0001080	abolished aggregation			
DBS0236631	DDPHENO:0001080	abolished aggregation	loose aggregates around the edge of plate		
DBS0236634	DDPHENO:0001080	abolished aggregation			
DBS0236635	DDPHENO:0001080	abolished aggregation			
DBS0236636	DDPHENO:0001080	abolished aggregation			
DBS0236641	DDPHENO:0000445	increased slug migration			
DBS0236642	DDPHENO:0000483	aberrant aggregation	aggregate morphology resembles surface of a brain, small clubs, fairly sparse on SM/5		
DBS0236643	DDPHENO:0000482	aberrant streaming			
DBS0236644	DDPHENO:0000165	increased stalk length			
DBS0236644	DDPHENO:0000445	increased slug migration			
DBS0236645	DDPHENO:0000445	increased slug migration			
DBS0236647	DDPHENO:0000482	aberrant streaming			
DBS0236648	DDPHENO:0000003	increased slug length			
DBS0236648	DDPHENO:0000165	increased stalk length			
DBS0236648	DDPHENO:0000482	aberrant streaming			
DBS0236649	DDPHENO:0001080	abolished aggregation			
DBS0236650	DDPHENO:0000445	increased slug migration			
DBS0236651	DDPHENO:0000445	increased slug migration			
DBS0236652	DDPHENO:0001080	abolished aggregation			
DBS0236653	DDPHENO:0000445	increased slug migration			
DBS0236654	DDPHENO:0000445	increased slug migration			
DBS0236655	DDPHENO:0000482	aberrant streaming			
DBS0236656	DDPHENO:0001080	abolished aggregation			
DBS0236658	DDPHENO:0000445	increased slug migration			
DBS0236659	DDPHENO:0001080	abolished aggregation			
DBS0236660	DDPHENO:0000445	increased slug migration			
DBS0236661	DDPHENO:0000445	increased slug migration			
DBS0236662	DDPHENO:0000445	increased slug migration			
DBS0236663	DDPHENO:0000445	increased slug migration			
DBS0236664	DDPHENO:0000445	increased slug migration			
DBS0236665	DDPHENO:0000445	increased slug migration			
DBS0236666	DDPHENO:0000445	increased slug migration			
DBS0236667	DDPHENO:0000445	increased slug migration			
DBS0236668	DDPHENO:0001080	abolished aggregation			
DBS0236669	DDPHENO:0000445	increased slug migration			
DBS0236670	DDPHENO:0000445	increased slug migration			
DBS0236671	DDPHENO:0000445	increased slug migration			
DBS0236672	DDPHENO:0000445	increased slug migration			
DBS0236673	DDPHENO:0001080	abolished aggregation			
DBS0236674	DDPHENO:0000445	increased slug migration			
DBS0236675	DDPHENO:0000445	increased slug migration			
DBS0236676	DDPHENO:0000445	increased slug migration			
DBS0236677	DDPHENO:0000445	increased slug migration			
DBS0236678	DDPHENO:0000445	increased slug migration			
DBS0236679	DDPHENO:0001080	abolished aggregation			
DBS0236680	DDPHENO:0000445	increased slug migration			
DBS0236681	DDPHENO:0000445	increased slug migration			
DBS0236684	DDPHENO:0001080	abolished aggregation			
DBS0236685	DDPHENO:0001080	abolished aggregation			
DBS0236686	DDPHENO:0001080	abolished aggregation			
DBS0236687	DDPHENO:0001080	abolished aggregation			
DBS0236689	DDPHENO:0001080	abolished aggregation			
DBS0236690	DDPHENO:0001080	abolished aggregation			
DBS0236691	DDPHENO:0001080	abolished aggregation			
DBS0236692	DDPHENO:0001080	abolished aggregation			
DBS0236693	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236693	DDPHENO:0000163	aberrant spore morphology	round spores		
DBS0236693	DDPHENO:0001080	abolished aggregation			
DBS0236694	DDPHENO:0001080	abolished aggregation			
DBS0236698	DDPHENO:0000165	increased stalk length			
DBS0236750	DDPHENO:0001080	abolished aggregation			
DBS0236762	DDPHENO:0001080	abolished aggregation			
DBS0236765	DDPHENO:0001080	abolished aggregation			
DBS0236766	DDPHENO:0000036	increased number of tips			
DBS0236767	DDPHENO:0001080	abolished aggregation			
DBS0236783	DDPHENO:0000394	decreased growth rate		DDENVIR:0000004	on bacterial plate
DBS0236783	DDPHENO:0001080	abolished aggregation			
DBS0236798	DDPHENO:0001080	abolished aggregation			
DBS0236844	DDPHENO:0000483	aberrant aggregation			
DBS0236845	DDPHENO:0000109	increased cell-cell adhesion			
DBS0236847	DDPHENO:0000483	aberrant aggregation			
DBS0236853	DDPHENO:0001080	abolished aggregation			
DBS0236854	DDPHENO:0001080	abolished aggregation			
DBS0236867	DDPHENO:0000036	increased number of tips			
DBS0236867	DDPHENO:0000158	decreased aggregate size			
DBS0236870	DDPHENO:0000222	aberrant phototaxis			
DBS0236871	DDPHENO:0000222	aberrant phototaxis			
DBS0236875	DDPHENO:0000158	decreased aggregate size			
DBS0236876	DDPHENO:0000158	decreased aggregate size			
DBS0236876	DDPHENO:0000394	decreased growth rate			
DBS0236895	DDPHENO:0001080	abolished aggregation			
DBS0236897	DDPHENO:0001080	abolished aggregation			
DBS0236898	DDPHENO:0001080	abolished aggregation			
DBS0236899	DDPHENO:0001080	abolished aggregation			
DBS0236911	DDPHENO:0000158	decreased aggregate size			
DBS0236924	DDPHENO:0000036	increased number of tips			
DBS0236939	DDPHENO:0000077	decreased fruiting body size			
DBS0236955	DDPHENO:0000162	delayed development			
DBS0236956	DDPHENO:0001080	abolished aggregation			
DBS0236958	DDPHENO:0000009	aberrant fruiting body morphology			
DBS0236958	DDPHENO:0000158	decreased aggregate size			
DBS0236962	DDPHENO:0000156	delayed aggregation			
DBS0236985	DDPHENO:0000019	abolished culmination			
DBS0236987	DDPHENO:0000165	increased stalk length			
DBS0236987	DDPHENO:0000165	abolished sporulation			
DBS0236990	DDPHENO:0001080	abolished aggregation			
DBS0236994	DDPHENO:0001080	abolished aggregation			
DBS0237015	DDPHENO:0000518	increased stalk width	spores at base		
DBS0237016	DDPHENO:0000518	increased stalk width	spores at base		
DBS0237020	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237021	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237028	DDPHENO:0000009	aberrant fruiting body morphology			
DBS0237029	DDPHENO:0001080	abolished aggregation			
DBS0237030	DDPHENO:0001080	abolished aggregation			
DBS0237043	DDPHENO:0000483	aberrant aggregation	no preaggregation zone		
DBS0237048	DDPHENO:0000168	development arrests at slug stage			
DBS0237049	DDPHENO:0000168	development arrests at slug stage			
DBS0237051	DDPHENO:0000162	delayed development			
DBS0237053	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237056	DDPHENO:0000167	precocious development			
DBS0237060	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237060	DDPHENO:0000163	aberrant spore morphology	round spores		
DBS0237062	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237063	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237065	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237069	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237070	DDPHENO:0000445	increased slug migration			
DBS0237071	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237071	DDPHENO:0000163	aberrant spore morphology	round spores		
DBS0237071	DDPHENO:0000445	increased slug migration			
DBS0237072	DDPHENO:0000445	increased slug migration			
DBS0237073	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237073	DDPHENO:0000482	aberrant streaming			
DBS0237074	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237075	DDPHENO:0000445	increased slug migration			
DBS0237076	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237077	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237077	DDPHENO:0000445	increased slug migration			
DBS0237078	DDPHENO:0000445	increased slug migration			
DBS0237079	DDPHENO:0000001	aberrant spore color	white spores		
DBS0237079	DDPHENO:0000445	increased slug migration			
DBS0237080	DDPHENO:0000445	increased slug migration			
DBS0237081	DDPHENO:0000445	increased slug migration			
DBS0237085	DDPHENO:0000001	aberrant spore color	white spores		
